date,요일,배추_거래량(kg),배추_가격(원/kg),무_거래량(kg),무_가격(원/kg),양파_거래량(kg),양파_가격(원/kg),건고추_거래량(kg),건고추_가격(원/kg),마늘_거래량(kg),마늘_가격(원/kg),대파_거래량(kg),대파_가격(원/kg),얼갈이배추_거래량(kg),얼갈이배추_가격(원/kg),양배추_거래량(kg),양배추_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),시금치_거래량(kg),시금치_가격(원/kg),미나리_거래량(kg),미나리_가격(원/kg),당근_거래량(kg),당근_가격(원/kg),파프리카_거래량(kg),파프리카_가격(원/kg),새송이_거래량(kg),새송이_가격(원/kg),팽이버섯_거래량(kg),팽이버섯_가격(원/kg),토마토_거래량(kg),토마토_가격(원/kg),청상추_거래량(kg),청상추_가격(원/kg),백다다기_거래량(kg),백다다기_가격(원/kg),애호박_거래량(kg),애호박_가격(원/kg),캠벨얼리_거래량(kg),캠벨얼리_가격(원/kg),샤인마스캇_거래량(kg),샤인마스캇_가격(원/kg)
2022-01-13,목요일,473417.45,738.3483054965549,1236504.1,422.8091795247585,1804317.7,524.9845711761294,444.2,12839.711841512832,118511.1,5983.514658120632,685277.2,1109.704831854905,171477.5,1654.0939831756352,477843.6,392.4620754573254,57137.7,9875.812624589369,269200.7,2785.754542985958,34646.5,4977.0636572236735,395894.0,895.7290360551057,115149.2,5272.338644124319,153738.0,3254.817819927409,126115.5,2537.499379537012,132231.8,2909.9687064684895,36101.0,4684.815323675244,158411.4,3224.396716397936,174338.2,3778.933475279657,0.0,0.0,45086.0,13251.607594375195
2022-01-14,금요일,593140.3,700.0162828254967,1209538.95,422.83119448116986,1755481.6,504.9282430530744,366.6,12007.1031096563,86344.5,6146.813902448911,678461.2,1130.569500510862,183931.5,1695.028844977614,554566.9,397.151427537417,59858.32,9876.887356678237,234455.9,2614.1389915971404,56194.0,6226.976794675588,350683.0,913.3069296201983,95267.6,5686.849243604331,161634.0,3405.8129415840726,132099.5,2651.407772171734,207799.5,2901.8684838028967,35769.0,4728.253795185776,217778.0,3213.88040573428,246000.2,3746.7583847492806,0.0,0.0,55615.7,13715.211891606148
2022-01-15,토요일,360792.5,808.2629849567272,802968.6,436.1329421847878,1341646.0,502.83898882417566,334.0,14503.892215568862,88587.5,6329.509321292508,627232.8,1157.4259190527025,146295.0,1927.5642844936601,487609.8,405.83031760231233,60181.37,10154.539718853193,290644.7,2863.691132162396,55191.0,6329.993658386331,151170.0,1012.6412317258715,102098.7,5895.385524007652,172247.8,3391.6239859086736,125366.0,2698.352352312429,125308.5,2866.9332088405813,39007.0,4821.95413643705,169735.0,3084.7875688573363,168886.0,3901.546931065926,437.9999999999999,5778.538812785389,39022.7,13488.051826244726
2022-01-17,월요일,1258565.6,719.7315864981531,1327324.6,453.88794873537336,2340622.5,533.006381849273,10194.4,7513.115043553324,83995.3,6072.52932009291,776667.2,1169.7678336358224,259636.5,1892.8030496482581,772974.4,402.9902348641818,79763.0,10330.964883467272,351461.65,2812.35760146235,58668.4,6988.185070668366,518101.0,914.3541394438536,130602.0,6179.712071790631,191248.4,3449.0773674446427,131078.0,2848.919162635988,231681.9,2992.048148776404,44056.0,4855.071159433448,340786.0,3203.4056445980764,349475.0,4034.147635739323,438.0,5753.424657534247,67282.2,14482.93456515988
2022-01-18,화요일,791429.4,721.852172790144,1245843.3,493.3071237771235,2318452.5,561.8980246522195,903.0,12830.01107419712,121312.2,6136.321812645389,779651.3,1164.6857255288357,245897.5,1859.4949968991145,858922.7,385.7424469047098,57740.8,10303.927049850365,312846.8,2788.758015105157,58429.0,6654.292799808314,432846.0,873.531473087426,118406.5,6145.443560953157,175465.7,3534.5977760895717,120802.5,2830.0951139256226,156370.2,3044.5220380865408,37085.0,4540.743211541055,174856.0,3191.4857883058057,207922.6,4086.842507740861,0.0,0.0,54924.7,13985.247438766166
2022-01-19,수요일,811851.2,736.5594089163137,1386176.1,497.6807448923697,1903362.2,538.46623569597,356.0,10547.752808988764,84969.7,5969.952512483862,741945.7,1212.2430725051713,263150.0,1694.2964620938628,776990.8,350.4637892752398,58481.5,10179.683558048271,290674.36,2908.220491136542,60427.5,7163.1005750692975,458739.0,945.753517795522,127966.0,5977.291366456715,173111.0,3520.89692740496,135207.5,2836.307268457741,170853.7,2967.074754599988,38685.5,4355.348102002042,200058.0,3190.519929220526,269843.4,4081.046662619875,0.0,0.0,58316.0,14364.841552918582
2022-01-20,목요일,756199.85,706.8778643635013,1562560.5,516.3947719144314,1948709.3,501.7465509093634,248.0,12318.29435483871,84212.6,6027.492809864557,756044.0,1213.4848104078599,222705.0,1789.6938685705304,794427.0,360.1839678157968,57019.2,9963.268811207454,268623.87,2983.2797063045814,37043.6,6602.68564610351,427280.0,1002.3015469949447,130243.2,5759.23033217857,167395.5,3541.7096039021358,124888.0,2839.1719380564987,137376.5,2960.5150808180438,35122.0,4275.099396389727,167554.4,3307.365900268808,181602.1,4239.4126224311285,0.0,0.0,62889.9,14142.58155920108
2022-01-21,금요일,733895.3,755.4920054672648,1578393.3,521.5818079055455,2326879.9,522.1027286367466,414.7,8816.407041234628,69145.4,5336.871679099406,773177.1,1223.3270204200305,219720.1,1785.0539618359903,794494.6,345.9845290326706,60517.3,10178.992916075238,290858.0,3213.755743352426,64493.1,7233.400115671289,403953.0,902.7863266271077,113562.8,5913.95233298228,165652.4,3721.9791865375933,131600.5,2864.2457741421954,195711.3,2967.304698297952,36678.0,4254.279513604885,193865.0,3430.577092306502,276030.0,4162.0297576350395,438.0,5860.730593607306,70681.8,14703.753300000848
2022-01-22,토요일,486146.65,791.4998817743575,1345436.45,540.3938677296873,1564685.3,479.2095714071066,432.0,8819.449074074075,188334.3,4154.56647036679,744407.7,1289.5791029566192,212295.0,1927.3276195859535,616552.8,392.2824533438174,61425.0,10392.83575091575,301765.8,3513.1794855480643,67030.8,7522.9898196053155,216245.0,940.4138361580615,124449.8,5788.740697052144,188778.0,3824.381516914047,136095.5,2927.825100756454,116181.6,2889.5199411955077,37379.0,4335.300837368576,176907.0,3559.973206260917,200827.0,4054.1959995418943,0.0,0.0,68207.2,14576.858454825884
2022-01-23,일요일,0.0,0.0,4660.0,561.8025751072961,16440.0,600.0,0.0,0.0,0.0,0.0,2399.0,1188.0533555648187,0.0,0.0,0.0,0.0,23.0,14495.652173913044,0.0,0.0,0.0,0.0,200.0,1200.0,0.0,0.0,424.0,4608.490566037736,0.0,0.0,0.0,0.0,0.0,0.0,90.0,3488.8888888888887,0.0,0.0,0.0,0.0,80.0,13750.0
